case_id,event_id,activity
64,E,Loan Approval
64,G,Notify Customer
64,H,Archive Case
65,A,Register Application
65,B,Credit Check
65,C,Document Verification
65,D,Risk Assessment
65,F,Loan Rejection
65,G,Notify Customer
65,H,Archive Case
66,A,Register Application
66,B,Credit Check
66,C,Document Verification
66,D,Risk Assessment
66,E,Loan Approval
66,G,Notify Customer
66,H,Archive Case
67,A,Register Application
67,C,Document Verification
67,B,Credit Check
67,D,Risk Assessment
67,E,Loan Approval
67,G,Notify Customer
67,H,Archive Case
68,A,Register Application
68,C,Document Verification
68,B,Credit Check
68,D,Risk Assessment
68,E,Loan Approval
68,G,Notify Customer
68,H,Archive Case
69,A,Register Application
69,B,Credit Check
69,C,Document Verification
69,D,Risk Assessment
69,F,Loan Rejection
69,G,Notify Customer
69,H,Archive Case
70,A,Register Application
70,C,Document Verification
70,B,Credit Check
70,D,Risk Assessment
70,E,Loan Approval
70,G,Notify Customer
70,H,Archive Case
71,A,Register Application
71,C,Document Verification
71,B,Credit Check
71,D,Risk Assessment
71,E,Loan Approval
71,G,Notify Customer
71,H,Archive Case
72,A,Register Application
72,C,Document Verification
72,B,Credit Check
72,D,Risk Assessment
72,E,Loan Approval
72,G,Notify Customer
72,H,Archive Case
73,A,Register Application
73,C,Document Verification
73,B,Credit Check
73,D,Risk Assessment
73,E,Loan Approval
73,G,Notify Customer
73,H,Archive Case
74,A,Register Application
74,B,Credit Check
74,C,Document Verification
74,D,Risk Assessment
74,E,Loan Approval
74,G,Notify Customer
74,H,Archive Case
75,A,Register Application
75,C,Document Verification
75,B,Credit Check
75,I,Manual Review
75,D,Risk Assessment
75,E,Loan Approval
75,G,Notify Customer
75,H,Archive Case
76,A,Register Application
76,C,Document Verification
76,B,Credit Check
76,D,Risk Assessment
76,E,Loan Approval
76,G,Notify Customer
76,H,Archive Case
77,A,Register Application
77,C,Document Verification
77,B,Credit Check
77,D,Risk Assessment
77,E,Loan Approval
77,G,Notify Customer
77,H,Archive Case
78,A,Register Application
78,C,Document Verification
78,B,Credit Check
78,I,Manual Review
78,D,Risk Assessment
78,F,Loan Rejection
78,G,Notify Customer
78,H,Archive Case
79,A,Register Application
79,C,Document Verification
79,B,Credit Check
79,D,Risk Assessment
79,F,Loan Rejection
79,G,Notify Customer
79,H,Archive Case
80,A,Register Application
80,C,Document Verification
80,B,Credit Check
80,D,Risk Assessment
80,E,Loan Approval
80,G,Notify Customer
80,H,Archive Case
81,A,Register Application
81,C,Document Verification
81,B,Credit Check
81,D,Risk Assessment
81,E,Loan Approval
81,G,Notify Customer
81,H,Archive Case
82,A,Register Application
82,C,Document Verification
82,B,Credit Check
82,D,Risk Assessment
82,E,Loan Approval
82,G,Notify Customer
82,H,Archive Case
83,A,Register Application
83,C,Document Verification
83,B,Credit Check
83,D,Risk Assessment
83,E,Loan Approval
83,G,Notify Customer
83,H,Archive Case
84,A,Register Application
84,C,Document Verification
84,B,Credit Check
84,D,Risk Assessment
84,E,Loan Approval
84,G,Notify Customer
84,H,Archive Case
85,A,Register Application
85,B,Credit Check
85,C,Document Verification
85,D,Risk Assessment
85,E,Loan Approval
85,G,Notify Customer
85,H,Archive Case
86,A,Register Application
86,C,Document Verification
86,B,Credit Check
86,I,Manual Review
86,D,Risk Assessment
86,F,Loan Rejection
86,G,Notify Customer
86,H,Archive Case
87,A,Register Application
87,C,Document Verification
87,B,Credit Check
87,D,Risk Assessment
87,E,Loan Approval
87,G,Notify Customer
87,H,Archive Case
88,A,Register Application
88,B,Credit Check
88,C,Document Verification
88,D,Risk Assessment
88,F,Loan Rejection
88,G,Notify Customer
88,H,Archive Case
89,A,Register Application
89,C,Document Verification
89,B,Credit Check
89,I,Manual Review
89,D,Risk Assessment
89,E,Loan Approval
89,G,Notify Customer
89,H,Archive Case
90,A,Register Application
90,C,Document Verification
90,B,Credit Check
90,D,Risk Assessment
90,E,Loan Approval
90,G,Notify Customer
90,H,Archive Case
91,A,Register Application
91,B,Credit Check
91,C,Document Verification
91,D,Risk Assessment
91,F,Loan Rejection
91,G,Notify Customer
91,H,Archive Case
92,A,Register Application
92,C,Document Verification
92,B,Credit Check
92,I,Manual Review
92,D,Risk Assessment
92,F,Loan Rejection
92,G,Notify Customer
92,H,Archive Case
93,A,Register Application
93,B,Credit Check
93,C,Document Verification
93,I,Manual Review
93,D,Risk Assessment
93,E,Loan Approval
93,G,Notify Customer
93,H,Archive Case
94,A,Register Application
94,B,Credit Check
94,C,Document Verification
94,D,Risk Assessment
94,F,Loan Rejection
94,G,Notify Customer
94,H,Archive Case
95,A,Register Application
95,C,Document Verification
95,B,Credit Check
95,I,Manual Review
95,D,Risk Assessment
95,F,Loan Rejection
95,G,Notify Customer
95,H,Archive Case
96,A,Register Application
96,C,Document Verification
96,B,Credit Check
96,D,Risk Assessment
96,E,Loan Approval
96,G,Notify Customer
96,H,Archive Case
97,A,Register Application
97,B,Credit Check
97,C,Document Verification
97,D,Risk Assessment
97,E,Loan Approval
97,G,Notify Customer
97,H,Archive Case
98,A,Register Application
98,B,Credit Check
98,C,Document Verification
98,D,Risk Assessment
98,E,Loan Approval
98,G,Notify Customer
98,H,Archive Case
99,A,Register Application
99,B,Credit Check
99,C,Document Verification
99,D,Risk Assessment
99,E,Loan Approval
99,G,Notify Customer
99,H,Archive Case
100,A,Register Application
100,B,Credit Check
100,C,Document Verification
100,D,Risk Assessment
100,F,Loan Rejection
100,G,Notify Customer
100,H,Archive Case
101,A,Register Application
101,B,Credit Check
101,C,Document Verification
101,D,Risk Assessment
101,F,Loan Rejection
101,G,Notify Customer
101,H,Archive Case
102,A,Register Application
102,C,Document Verification
102,B,Credit Check
102,D,Risk Assessment
102,E,Loan Approval
102,G,Notify Customer
102,H,Archive Case
103,A,Register Application
103,B,Credit Check
103,C,Document Verification
103,D,Risk Assessment
103,E,Loan Approval
103,G,Notify Customer
103,H,Archive Case
104,A,Register Application
104,C,Document Verification
104,B,Credit Check
104,D,Risk Assessment
104,E,Loan Approval
104,G,Notify Customer
104,H,Archive Case
105,A,Register Application
105,B,Credit Check
105,C,Document Verification
105,I,Manual Review
105,D,Risk Assessment
105,F,Loan Rejection
105,G,Notify Customer
105,H,Archive Case
106,A,Register Application
106,B,Credit Check
106,C,Document Verification
106,I,Manual Review
106,D,Risk Assessment
106,E,Loan Approval
106,G,Notify Customer
106,H,Archive Case
107,A,Register Application
107,C,Document Verification
107,B,Credit Check
107,D,Risk Assessment
107,E,Loan Approval
107,G,Notify Customer
107,H,Archive Case
108,A,Register Application
108,B,Credit Check
108,C,Document Verification
108,D,Risk Assessment
108,E,Loan Approval
108,G,Notify Customer
108,H,Archive Case
109,A,Register Application
109,B,Credit Check
109,C,Document Verification
109,D,Risk Assessment
109,E,Loan Approval
109,G,Notify Customer
109,H,Archive Case
110,A,Register Application
110,C,Document Verification
110,B,Credit Check
110,D,Risk Assessment
110,F,Loan Rejection
110,G,Notify Customer
110,H,Archive Case
111,A,Register Application
111,B,Credit Check
111,C,Document Verification
111,I,Manual Review
111,D,Risk Assessment
111,F,Loan Rejection
111,G,Notify Customer
111,H,Archive Case
112,A,Register Application
112,B,Credit Check
112,C,Document Verification
112,I,Manual Review
112,D,Risk Assessment
112,E,Loan Approval
112,G,Notify Customer
112,H,Archive Case
113,A,Register Application
113,B,Credit Check
113,C,Document Verification
113,I,Manual Review
113,D,Risk Assessment
113,E,Loan Approval
113,G,Notify Customer
113,H,Archive Case
114,A,Register Application
114,B,Credit Check
114,C,Document Verification
114,D,Risk Assessment
114,F,Loan Rejection
114,G,Notify Customer
114,H,Archive Case
115,A,Register Application
115,B,Credit Check
115,C,Document Verification
115,D,Risk Assessment
115,E,Loan Approval
115,G,Notify Customer
115,H,Archive Case
116,A,Register Application
116,B,Credit Check
116,C,Document Verification
116,D,Risk Assessment
116,F,Loan Rejection
116,G,Notify Customer
116,H,Archive Case
117,A,Register Application
117,B,Credit Check
117,C,Document Verification
117,D,Risk Assessment
117,E,Loan Approval
117,G,Notify Customer
117,H,Archive Case
118,A,Register Application
118,B,Credit Check
118,C,Document Verification
118,D,Risk Assessment
118,F,Loan Rejection
118,G,Notify Customer
118,H,Archive Case
119,A,Register Application
119,B,Credit Check
119,C,Document Verification
119,D,Risk Assessment
119,E,Loan Approval
119,G,Notify Customer
119,H,Archive Case
120,A,Register Application
120,C,Document Verification
120,B,Credit Check
120,D,Risk Assessment
120,E,Loan Approval
120,G,Notify Customer
120,H,Archive Case
121,A,Register Application
121,B,Credit Check
121,C,Document Verification
121,D,Risk Assessment
121,E,Loan Approval
121,G,Notify Customer
121,H,Archive Case
122,A,Register Application
122,C,Document Verification
122,B,Credit Check
122,D,Risk Assessment
122,E,Loan Approval
122,G,Notify Customer
122,H,Archive Case
123,A,Register Application
123,C,Document Verification
123,B,Credit Check
123,D,Risk Assessment
123,F,Loan Rejection
123,G,Notify Customer
123,H,Archive Case
124,A,Register Application
124,C,Document Verification
124,B,Credit Check
124,D,Risk Assessment
124,E,Loan Approval
124,G,Notify Customer
124,H,Archive Case
125,A,Register Application
125,B,Credit Check
125,C,Document Verification
125,D,Risk Assessment
125,F,Loan Rejection
125,G,Notify Customer
125,H,Archive Case
126,A,Register Application
126,C,Document Verification
126,B,Credit Check
126,D,Risk Assessment
126,E,Loan Approval
126,G,Notify Customer
126,H,Archive Case
127,A,Register Application
127,B,Credit Check
127,C,Document Verification
127,D,Risk Assessment
127,E,Loan Approval
127,G,Notify Customer
127,H,Archive Case
128,A,Register Application
128,C,Document Verification
128,B,Credit Check
128,D,Risk Assessment
128,F,Loan Rejection
128,G,Notify Customer
128,H,Archive Case
129,A,Register Application
129,C,Document Verification
129,B,Credit Check
129,D,Risk Assessment
129,E,Loan Approval
129,G,Notify Customer
129,H,Archive Case
130,A,Register Application
130,C,Document Verification
130,B,Credit Check
130,D,Risk Assessment
130,E,Loan Approval
130,G,Notify Customer
130,H,Archive Case
131,A,Register Application
131,C,Document Verification
131,B,Credit Check
131,I,Manual Review
131,D,Risk Assessment
131,E,Loan Approval
131,G,Notify Customer
131,H,Archive Case
132,A,Register Application
132,B,Credit Check
132,C,Document Verification
132,D,Risk Assessment
132,E,Loan Approval
132,G,Notify Customer
132,H,Archive Case
133,A,Register Application
133,B,Credit Check
133,C,Document Verification
133,I,Manual Review
133,D,Risk Assessment
133,E,Loan Approval
133,G,Notify Customer
133,H,Archive Case
134,A,Register Application
134,C,Document Verification
134,B,Credit Check
134,D,Risk Assessment
134,E,Loan Approval
134,G,Notify Customer
134,H,Archive Case
135,A,Register Application
135,C,Document Verification
135,B,Credit Check
135,D,Risk Assessment
135,F,Loan Rejection
135,G,Notify Customer
135,H,Archive Case
136,A,Register Application
136,C,Document Verification
136,B,Credit Check
136,D,Risk Assessment
136,E,Loan Approval
136,G,Notify Customer
136,H,Archive Case
137,A,Register Application
137,C,Document Verification
137,B,Credit Check
137,D,Risk Assessment
137,E,Loan Approval
137,G,Notify Customer
137,H,Archive Case
138,A,Register Application
138,B,Credit Check
138,C,Document Verification
138,I,Manual Review
138,D,Risk Assessment
138,E,Loan Approval
138,G,Notify Customer
138,H,Archive Case
139,A,Register Application
139,C,Document Verification
139,B,Credit Check
139,D,Risk Assessment
139,E,Loan Approval
139,G,Notify Customer
139,H,Archive Case
140,A,Register Application
140,C,Document Verification
140,B,Credit Check
140,D,Risk Assessment
140,E,Loan Approval
140,G,Notify Customer
140,H,Archive Case
141,A,Register Application
141,B,Credit Check
141,C,Document Verification
141,D,Risk Assessment
141,F,Loan Rejection
141,G,Notify Customer
141,H,Archive Case
142,A,Register Application
142,C,Document Verification
142,B,Credit Check
142,I,Manual Review
142,D,Risk Assessment
142,F,Loan Rejection
142,G,Notify Customer
142,H,Archive Case
143,A,Register Application
143,C,Document Verification
143,B,Credit Check
143,D,Risk Assessment
143,E,Loan Approval
143,G,Notify Customer
143,H,Archive Case
144,A,Register Application
144,B,Credit Check
144,C,Document Verification
144,D,Risk Assessment
144,E,Loan Approval
144,G,Notify Customer
144,H,Archive Case
145,A,Register Application
145,C,Document Verification
145,B,Credit Check
145,D,Risk Assessment
145,F,Loan Rejection
145,G,Notify Customer
145,H,Archive Case
146,A,Register Application
146,B,Credit Check
146,C,Document Verification
146,D,Risk Assessment
146,F,Loan Rejection
146,G,Notify Customer
146,H,Archive Case
147,A,Register Application
147,B,Credit Check
147,C,Document Verification
147,I,Manual Review
147,D,Risk Assessment
147,E,Loan Approval
147,G,Notify Customer
147,H,Archive Case
148,A,Register Application
148,B,Credit Check
148,C,Document Verification
148,D,Risk Assessment
148,F,Loan Rejection
148,G,Notify Customer
148,H,Archive Case
149,A,Register Application
149,B,Credit Check
149,C,Document Verification
149,D,Risk Assessment
149,F,Loan Rejection
149,G,Notify Customer
149,H,Archive Case
150,A,Register Application
150,B,Credit Check
150,C,Document Verification
150,I,Manual Review
150,D,Risk Assessment
150,E,Loan Approval
150,G,Notify Customer
150,H,Archive Case
151,A,Register Application
151,B,Credit Check
151,C,Document Verification
151,D,Risk Assessment
151,E,Loan Approval
151,G,Notify Customer
151,H,Archive Case
152,A,Register Application
152,B,Credit Check
152,C,Document Verification
152,I,Manual Review
152,D,Risk Assessment
152,F,Loan Rejection
152,G,Notify Customer
152,H,Archive Case
153,A,Register Application
153,B,Credit Check
153,C,Document Verification
153,D,Risk Assessment
153,E,Loan Approval
153,G,Notify Customer
153,H,Archive Case
154,A,Register Application
154,C,Document Verification
154,B,Credit Check
154,D,Risk Assessment
154,E,Loan Approval
154,G,Notify Customer
154,H,Archive Case
155,A,Register Application
155,B,Credit Check
155,C,Document Verification
155,D,Risk Assessment
155,E,Loan Approval
155,G,Notify Customer
155,H,Archive Case
156,A,Register Application
156,C,Document Verification
156,B,Credit Check
156,I,Manual Review
156,D,Risk Assessment
156,E,Loan Approval
156,G,Notify Customer
156,H,Archive Case
157,A,Register Application
157,B,Credit Check
157,C,Document Verification
157,D,Risk Assessment
157,E,Loan Approval
157,G,Notify Customer
157,H,Archive Case
158,A,Register Application
158,B,Credit Check
158,C,Document Verification
158,D,Risk Assessment
158,E,Loan Approval
158,G,Notify Customer
158,H,Archive Case
159,A,Register Application
159,C,Document Verification
159,B,Credit Check
159,I,Manual Review
159,D,Risk Assessment
159,E,Loan Approval
159,G,Notify Customer
159,H,Archive Case
160,A,Register Application
160,C,Document Verification
160,B,Credit Check
160,I,Manual Review
160,D,Risk Assessment
160,F,Loan Rejection
160,G,Notify Customer
160,H,Archive Case
161,A,Register Application
161,B,Credit Check
161,C,Document Verification
161,D,Risk Assessment
161,F,Loan Rejection
161,G,Notify Customer
161,H,Archive Case
162,A,Register Application
162,B,Credit Check
162,C,Document Verification
162,I,Manual Review
162,D,Risk Assessment
162,E,Loan Approval
162,G,Notify Customer
162,H,Archive Case
163,A,Register Application
163,B,Credit Check
163,C,Document Verification
163,I,Manual Review
163,D,Risk Assessment
163,E,Loan Approval
163,G,Notify Customer
163,H,Archive Case
164,A,Register Application
164,C,Document Verification
164,B,Credit Check
164,D,Risk Assessment
164,F,Loan Rejection
164,G,Notify Customer
164,H,Archive Case
165,A,Register Application
165,C,Document Verification
165,B,Credit Check
165,D,Risk Assessment
165,E,Loan Approval
165,G,Notify Customer
165,H,Archive Case
166,A,Register Application
166,C,Document Verification
166,B,Credit Check
166,D,Risk Assessment
166,E,Loan Approval
166,G,Notify Customer
166,H,Archive Case
167,A,Register Application
167,C,Document Verification
167,B,Credit Check
167,D,Risk Assessment
167,E,Loan Approval
167,G,Notify Customer
167,H,Archive Case
168,A,Register Application
168,C,Document Verification
168,B,Credit Check
168,I,Manual Review
168,D,Risk Assessment
168,F,Loan Rejection
168,G,Notify Customer
168,H,Archive Case
169,A,Register Application
169,C,Document Verification
169,B,Credit Check
169,D,Risk Assessment
169,E,Loan Approval
169,G,Notify Customer
169,H,Archive Case
170,A,Register Application
170,C,Document Verification
170,B,Credit Check
170,D,Risk Assessment
170,E,Loan Approval
170,G,Notify Customer
170,H,Archive Case
171,A,Register Application
171,B,Credit Check
171,C,Document Verification
171,D,Risk Assessment
171,F,Loan Rejection
171,G,Notify Customer
171,H,Archive Case
172,A,Register Application
172,C,Document Verification
172,B,Credit Check
172,D,Risk Assessment
172,F,Loan Rejection
172,G,Notify Customer
172,H,Archive Case
173,A,Register Application
173,C,Document Verification
173,B,Credit Check
173,D,Risk Assessment
173,E,Loan Approval
173,G,Notify Customer
173,H,Archive Case
174,A,Register Application
174,C,Document Verification
174,B,Credit Check
174,I,Manual Review
174,D,Risk Assessment
174,E,Loan Approval
174,G,Notify Customer
174,H,Archive Case
175,A,Register Application
175,B,Credit Check
175,C,Document Verification
175,D,Risk Assessment
175,E,Loan Approval
175,G,Notify Customer
175,H,Archive Case
176,A,Register Application
176,B,Credit Check
176,C,Document Verification
176,D,Risk Assessment
176,F,Loan Rejection
176,G,Notify Customer
176,H,Archive Case
177,A,Register Application
177,C,Document Verification
177,B,Credit Check
177,D,Risk Assessment
177,F,Loan Rejection
177,G,Notify Customer
177,H,Archive Case
178,A,Register Application
178,C,Document Verification
178,B,Credit Check
178,D,Risk Assessment
178,E,Loan Approval
178,G,Notify Customer
178,H,Archive Case
179,A,Register Application
179,B,Credit Check
179,C,Document Verification
179,D,Risk Assessment
179,E,Loan Approval
179,G,Notify Customer
179,H,Archive Case
180,A,Register Application
180,B,Credit Check
180,C,Document Verification
180,D,Risk Assessment
180,F,Loan Rejection
180,G,Notify Customer
180,H,Archive Case
181,A,Register Application
181,B,Credit Check
181,C,Document Verification
181,I,Manual Review
181,D,Risk Assessment
181,E,Loan Approval
181,G,Notify Customer
181,H,Archive Case
182,A,Register Application
182,B,Credit Check
182,C,Document Verification
182,D,Risk Assessment
182,E,Loan Approval
182,G,Notify Customer
182,H,Archive Case
183,A,Register Application
183,C,Document Verification
183,B,Credit Check
183,D,Risk Assessment
183,F,Loan Rejection
183,G,Notify Customer
183,H,Archive Case
184,A,Register Application
184,C,Document Verification
184,B,Credit Check
184,I,Manual Review
184,D,Risk Assessment
